원문,개선이 필요한 부분,문장A,문장B,A=SENTENCIFY,A=B
"드디어 범인의 정체가 밝혀졌다... 아니, 밝겨졌다?","밝히다'와 '밝기다'의 혼동입니다. '밝다'의 사동형은 '밝히다'이고, '밝기다'는 존재하지 않는 단어입니다. 피동은 '밝혀지다'입니다. 그러나 LLM이 헷갈려하는 것은 '-이-/-히-/-리-/-기-' 피동접미사 선택 규칙입니다. '밝다→밝히다(사동)→밝혀지다(피동)'가 올바른 파생 경로입니다.","드디어 범인의 정체가 밝혀졌다... 아니, 밝혀졌다?",드디어 범인의 정체가 밝혀졌다.,원래순서,다름
걔가 내일 온데.,-대'(간접 인용 '-다고 해'의 준말)와 '-데'(과거 회상 '-더라'의 구어형)의 혼동입니다. 남에게 전해 들은 말을 옮길 때는 '-대'를 씁니다. '걔가 내일 온대'가 맞습니다. '-데'는 '어제 가 보니 사람이 많데'처럼 자신이 직접 경험한 것을 회상할 때 씁니다.,걔가 내일 온대.,걔가 내일 온대.,원래순서,같음
그의 얼굴이 찬백하다.,찬백하다'는 잘못된 표기입니다. '창백하다'가 올바른 표현입니다.,그의 얼굴이 창백하다.,그의 얼굴이 찬백하다.,원래순서,다름
그녀는 요즈음 소녀 시절의 순수한 마음을 잃어가는 것 같은 느낌으로 슬퍼지는 때가 있었다.,요즈음'(현재)과 '있었다'(과거)가 시제 불일치입니다. 현재 상태이므로 '있다'가 맞습니다.,그녀는 요즈음 소녀 시절의 순수한 마음을 잃어가는 것 같아 슬퍼지는 때가 있었다.,그녀는 요즘 소녀 시절의 순수한 마음을 잃어가는 것 같아 문득 슬퍼지곤 했다.,원래순서,다름
나이가 어리므로 불구하고 실력이 뛰어나다.,'-므로 불구하고'는 잘못된 연결입니다. '-에도 불구하고' 또는 '-지만'이 올바릅니다.,나이가 어린데도 불구하고 실력이 뛰어나다.,나이가 어리지만 실력이 뛰어나다.,원래순서,다름
문안하게 도착했다.,'문안하다'는 '안부를 묻다'라는 뜻입니다. '탈 없이 편안하다'는 '무난하다'가 올바릅니다.,무난하게 도착했다.,문안하게 도착했다.,원래순서,다름
너는 모름지기 열심히 공부를 한다.,모름지기'는 당위('-해야 한다')와 호응합니다. 단순 서술 '한다'와는 어울리지 않습니다.,너는 마땅히 공부를 열심히 해야 한다.,너는 모름지기 열심히 공부해야 한다.,원래순서,다름
두메 산골에 있는 담장이 문득 뇌리 속을 스쳐 지나갔다.,뇌리(腦裏)'가 이미 '머릿속'이라는 뜻이므로 '뇌리 속'은 겹말입니다.,두메 산골에 있는 담장이 문득 뇌리 속을 스쳐 지나갔다.,두메 산골에 있는 담장이 문득 뇌리를 스쳐 지나갔다.,원래순서,다름
나는 집에 가는길에 빵을 샀다.,"'가는길'에서 '길'은 의존 명사가 아니라 자립 명사이지만, '가는 길'처럼 관형절 뒤의 명사는 띄어 써야 합니다.",나는 집에 가는길에 빵을 샀다.,나는 집에 가는 길에 빵을 샀다.,원래순서,다름
그는 교사로써 학생들에게 모범을 보여야 한다.,"-로서'와 '-로써'의 구별입니다. '-로서'는 자격·신분·지위를, '-로써'는 수단·도구를 나타냅니다. 여기서 '교사'는 자격이므로 '-로서'가 맞습니다. '연필로써 글을 쓰다'(수단)와 비교하면 차이가 명확합니다.",그는 교사로서 학생들에게 모범을 보여야 한다.,그는 교사로서 학생들에게 모범을 보여야 한다.,원래순서,같음
정부는 경제 활성화를 위해 규제를 완화시키고 세금을 인하시킬 방침이다.,"'완화하다', '인하하다'는 그 자체가 타동사인데 '-시키다'를 붙여 불필요한 사동 표현을 만들었습니다. '완화하다', '인하하다'가 올바릅니다.",정부는 경제 활성화를 위해 규제를 완화하고 세금을 인하할 방침이다.,정부는 경제 활성화를 위해 규제를 완화하고 세금을 인하할 방침이다.,원래순서,같음
우리나라의 자가 운전자는 교통 신호와 음주 운전의 위험성에 대한 경각심을 가져야 한다.,교통 신호와 음주 운전의 위험성'에서 '교통 신호'와 '음주 운전'이 대등하게 연결되면서 의미가 모호해집니다.,국내 운전자들은 교통 신호를 준수하고 음주 운전의 위험성을 깊이 인식하며 경각심을 가져야 합니다.,우리나라의 자가운전자는 교통 신호와 음주 운전의 위험성에 대한 경각심을 가져야 한다.,원래순서,다름
우리는 서로 간에 오해가 생겼다.,"'서로 간에'는 의미가 중복됩니다. '서로'는 이미 상호 관계를 나타내고, '간(間)에'도 '사이'라는 뜻이므로 하나만 쓰면 됩니다.",우리는 서로 오해가 생겼다.,우리는 서로 오해가 생겼다.,원래순서,같음
과반수 이상이 찬성했다.,'과반수(過半數)'에 이미 '반 이상'의 의미가 있으므로 '이상'과 중복됩니다.,과반수가 찬성했다.,과반수가 찬성했다.,원래순서,같음
"회의 결과, 팀원들 간의 역할 분담을 재조정하고, 프로젝트의 일정을 당초 계획보다 앞당겨서 진행시키기로 결정을 내려졌다.","세 가지 문제가 있습니다. (1) '진행시키다'는 불필요한 사동으로, '진행하다'가 올바릅니다. (2) '결정을 내려졌다'는 능동('결정을 내리다')과 피동('-어지다')이 뒤섞인 비문입니다. '결정을 내렸다' 또는 '결정이 내려졌다'로 통일해야 합니다. (3) 주어가 불분명합니다.","회의 결과, 팀원들 간의 역할 분담을 재조정하고, 프로젝트 일정을 당초 계획보다 앞당겨 진행하기로 결정했다.","회의 결과, 팀원 간 역할 분담을 재조정하고 프로젝트 일정을 당초 계획보다 앞당겨 진행하기로 결정했다.",원래순서,다름
집에 올때 우유 좀 사 와.,'때'는 의존 명사이므로 앞말과 띄어 써야 합니다. '올 때'가 올바릅니다.,집에 올 때 우유 좀 사 와.,집에 올 때 우유 좀 사 와.,원래순서,같음
새로 온 사원에게 친절하게 일하는 법을 가리키고 있는 김 과장의 모습이 보였다.,가리키다'(손가락으로 지시하다)와 '가르치다'(교육하다)의 혼동입니다. 일하는 법을 알려주는 것이므로 '가르치다'가 맞습니다.,새로 온 사원에게 친절하게 일하는 법을 가리키고 있는 김 과장의 모습이 보였다.,새로 온 사원에게 친절하게 일하는 방법을 알려주고 있는 김 과장의 모습이 보였다.,원래순서,다름
남은 잔여 시간이 없다.,'남은'과 '잔여(殘餘)'가 같은 뜻이므로 중복됩니다.,남은 시간이 없다.,남은 시간이 없다.,원래순서,같음
아직 할려면 멀었다.,'-ㄹ려면'은 잘못된 어미입니다. '-려면'이 올바릅니다.,아직 하려면 멀었다.,아직 할려면 멀었다.,원래순서,다름
현대는 과학이 대단히 발달해져 있다.,발달하다'는 자동사이므로 '-어지다'를 붙일 필요가 없습니다. '발달해 있다'가 올바릅니다.,현대는 과학이 대단히 발달해 있다.,현대는 과학이 대단히 발달해 있다.,원래순서,같음
확실한 것은 그들이 이제까지의 잘못을 반성하고 앞으로 진실한 국민으로 살아갈 것은 틀림없습니다.,것은 ~틀림없습니다'로 주술이 어긋났습니다. '확실한 것은 ~한다는 것입니다'가 올바릅니다.,확실한 것은 그들이 지난 잘못을 반성하고 앞으로 진실한 국민으로 살아갈 것이 틀림없다는 점입니다.,확실한 것은 그들이 지금까지의 잘못을 반성하고 앞으로 진실한 국민으로 살아갈 것이라는 점입니다.,원래순서,다름
내가 바라는 바는 모두 건강하길 바란다.,'바는'의 서술어는 '~이다'가 와야 합니다. '바란다'는 '나는'에 호응합니다.,내가 바라는 것은 모두가 건강하기를 바라는 것이다.,내가 바라는 바는 모두 건강한 것이다.,원래순서,다름
얼마만큼 필요하니?,"'만큼'이 조사로 쓰일 때는 붙여 쓰지만, 여기서는 의존 명사이므로 '얼마만큼'이 아니라 '얼마 만큼'으로 써야 합니다. 다만 '얼마만큼'도 허용하는 견해가 있어, 여기서는 '어느 정도'로 대체하는 것이 명확합니다.",얼마나 필요하니?,얼마나 필요하니?,원래순서,같음
"선생님, 저희 나라가 최고입니다.",'저희 나라'는 나라를 낮추는 표현이므로 부적절합니다. 나라는 낮출 대상이 아니므로 '우리나라'가 올바릅니다.,"선생님, 저희 나라가 최고입니다.","선생님, 우리나라가 최고예요.",원래순서,다름
먹는데 시간이 오래 걸린다.,"여기서 '-는데'가 어미이면 붙여 쓰지만, '데'가 의존 명사('장소, 일')이면 '먹는 데'로 띄어 씁니다. 이 문장은 '일'의 뜻이므로 띄어 써야 합니다.",먹는데 시간이 오래 걸린다.,먹는 데 시간이 오래 걸린다.,원래순서,다름
그 문제에 대해서 서로 간의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 될 것으로 보여진다.,네 가지 문제가 있습니다. (1) '서로 간의'는 겹말입니다. (2) '해야 될'은 '해야 할'이 올바릅니다. (3) '보여진다'는 '보이다'의 이중 피동입니다. (4) 문장이 지나치게 길고 복잡합니다.,그 문제에 대해 서로의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 할 것으로 보인다.,그 문제에 대해 서로의 의견 차이를 좁히는 것이 시급한 과제임을 인식해야 할 것으로 보인다.,원래순서,같음
역전 앞에서 만나자.,'역전(驛前)'에 이미 '역 앞'이라는 뜻이 있으므로 '앞'과 중복됩니다.,역전 앞에서 만나자.,역 앞에서 만나자.,원래순서,다름
부정 선거를 막기 위하여 미리 대책이 마련되어져야 한다.,마련되다'가 이미 피동형인데 '-어지다'가 붙어 이중 피동이 되었습니다.,부정 선거를 막기 위한 대책이 미리 마련되어야 한다.,부정 선거를 막기 위해 미리 대책이 마련되어야 한다.,원래순서,다름
이번 행사에 참석하지 못하는 분들께서는 사전에 미리 담당자에게 연락을 주시기를 부탁드립니다.,세 가지 문제가 있습니다. (1) '사전에 미리'는 겹말입니다. (2) '분들께서는 ~부탁드립니다'는 주체(분들)와 화자의 행위(부탁)가 뒤섞여 주술 호응이 어긋났습니다. (3) '연락을 주시기를 부탁드립니다'는 이중 요청으로 어색합니다.,이번 행사에 참석하지 못하시는 분들께서는 사전에 담당자에게 연락해 주시기 바랍니다.,이번 행사에 참석하지 못하는 분들은 사전에 담당자에게 연락을 주시기 바랍니다.,원래순서,다름
그녀는 미소를 띄었다.,'띄다'가 아니라 '띠다'가 올바릅니다. '미소를 띠다'가 올바른 표현입니다.,그녀는 미소를 띄었다.,그녀는 미소를 띠었다.,원래순서,다름
눈코 뜰 사이 없이 바빴다.,'눈코 뜰 사이'가 아니라 '눈코 뜰 새'가 올바른 관용 표현입니다. '새'는 '틈'의 뜻입니다.,눈코 뜰 새 없이 바빴다.,눈코 뜰 새 없이 바빴다.,원래순서,같음
과학의 발달은 새로운 사실을 발견하고 지식을 쌓게 하였다.,발달은'이 주어인데 '발견하고'에 주어가 없어 구조가 어색합니다. 주어와 서술어의 관계를 명확히 해야 합니다.,과학의 발달은 새로운 사실의 발견과 지식의 축적으로 이어졌다.,과학의 발달은 새로운 사실을 발견하고 지식을 쌓게 했다.,원래순서,다름
그들은 어제 하루 동안 많은 운동과 업무를 처리했다.,운동'은 '처리하다'와 어울리지 않습니다. '운동을 하다'와 '업무를 처리하다'를 각각 써야 합니다.,그들은 어제 하루 동안 많은 운동을 하고 업무를 처리했다.,그들은 어제 하루 동안 많은 운동과 업무를 처리했다.,원래순서,다름
그의 행동은 눈쌀을 찌푸리게 했다.,'눈쌀'은 잘못된 표기입니다. '눈살'이 올바른 표현입니다.,그의 행동은 눈살을 찌푸리게 했다.,그의 행동은 눈쌀을 찌푸리게 했다.,원래순서,다름
그사람은 참 착하다.,'그'는 관형사이므로 뒤의 명사 '사람'과 띄어 써야 합니다.,그 사람은 참 착하다.,그 사람은 참 착하다.,원래순서,같음
날이 저물자 그는 어느 집 문전 앞에서 하룻잠을 청했다.,문전(門前)'이 이미 '문 앞'이라는 뜻이므로 '문전 앞'은 겹말입니다.,날이 저물자 그는 어느 집 문 앞에서 하룻밤을 청했다.,날이 저물자 그는 어느 집 문 앞을 찾아가 하룻밤 묵어가기를 청했다.,뒤바뀜,다름
조사한바 사실로 확인되었다.,"-ㄴ바'(붙여 쓰기)와 '-ㄴ 바'(띄어 쓰기)는 의미가 다릅니다. 앞말이 뒷말의 이유·근거일 때는 어미 '-ㄴ바'로 붙여 씁니다. '앞에서 말한 것'이라는 의존 명사 '바'이면 띄어 씁니다. 여기서는 '조사했더니'의 뜻이므로 어미 '-ㄴ바'로 붙여 써야 하지만, 실제 용법에서는 '조사한 바'로 띄어 쓰는 것이 관습입니다.",조사한 바 사실로 확인되었다.,조사한 바 사실로 확인되었다.,뒤바뀜,같음
학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 향상되게 만든다.,주술 호응이 어긋났습니다. '것은 ~만든다'가 아니라 '것은 ~한다' 또는 '것이 ~만든다'여야 합니다. 또한 '향상되게 만든다'는 '향상시킨다'로 간결하게 고칠 수 있습니다.,학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 높여 준다.,학생들이 적극적으로 수업에 참여하는 것은 교육의 질을 향상시킨다.,뒤바뀜,다름
이 보고서의 목적은 최근 소비 트렌드를 분석하고 향후 전략을 수립하고자 작성되었다.,"주어 '목적은'에 호응하는 서술어가 '작성되었다'로 엇나갑니다. '목적은 ~분석하고 ~수립하는 것이다'로 끝나거나, 주어를 '이 보고서는'으로 바꿔야 합니다. 또한 '-고자'와 '작성되었다'의 연결도 어색합니다.",이 보고서는 최근 소비 트렌드를 분석하고 향후 전략을 수립하고자 작성되었다.,이 보고서는 최근 소비 트렌드를 분석하고 향후 전략을 수립하기 위해 작성되었다.,뒤바뀜,다름
비가 오음으로 우산을 가져가세요.,-므로'(이유·원인의 연결 어미)와 '-ㅁ으로'(명사형 어미+조사)를 혼동한 사례입니다. 이유를 나타낼 때는 '-므로'를 씁니다. '-ㅁ으로(써)'는 '노력함으로써 성공했다'처럼 수단의 의미일 때 씁니다.,비가 오니 우산을 가져가세요.,비가 올 것 같으니 우산을 가져가세요.,뒤바뀜,다름
"아버지께서는 나에게 공부를 열심히 하고, 독서를 권하셨다.",공부를 열심히 하고'의 서술어가 빠져 있어 '독서를 권하셨다'에만 연결됩니다. 병렬 구조가 불완전합니다.,"아버지께서는 나에게 공부를 열심히 하라고 하시고, 독서를 권하셨다.",아버지께서는 나에게 열심히 공부하고 독서할 것을 권하셨다.,뒤바뀜,다름
학생들은 여가 선용을 적극 활용하여 체력을 단련해야 한다.,여가 선용'의 '선용(善用)'이 이미 '잘 활용함'이라는 뜻이므로 '활용'과 겹칩니다.,학생들은 여가 시간을 적극 활용하여 체력을 단련해야 한다.,학생들은 여가 시간을 적극 활용하여 체력을 단련해야 한다.,뒤바뀜,같음
그 이유는 우리가 적을 너무 업수이 여김에서 비롯되었습니다.,이유는 ~비롯되었습니다'는 주술 호응이 안 됩니다. '이유는 ~때문입니다'가 올바릅니다.,그 이유는 우리가 적을 너무 업신여긴 데에서 비롯되었습니다.,그 이유는 우리가 적을 너무 얕보았기 때문입니다.,뒤바뀜,다름
"나는 방과 집안, 그리고 나아가서는 부엌 설거지까지도 도맡아 해야 했다.",방과 집안'에 대한 서술(청소)이 빠져 있어 '방 = 설거지'처럼 읽힙니다.,"나는 방 청소와 집안일, 나아가 부엌 설거지까지도 도맡아 해야 했다.","나는 방과 집안 청소는 물론, 부엌 설거지까지 도맡아 해야 했다.",뒤바뀜,다름
나는 바이올린계의 거장 파가니니에게 사사받았다.,사사(師事)'는 '스승으로 섬기다'라는 뜻의 타동사이므로 '사사받다'는 틀립니다. '사사하다'가 올바릅니다.,나는 바이올린 거장 파가니니에게 가르침을 받았다.,나는 바이올린계의 거장 파가니니를 스승으로 삼았다.,뒤바뀜,다름
그 소문은 입에서 입으로 회자되어졌다.,'회자되다'는 이미 피동의 의미를 포함합니다. '-어지다'를 붙이면 의미가 이중으로 겹칩니다.,그 소문은 입에서 입으로 회자되었다.,그 소문은 입에서 입으로 회자되었다.,원래순서,같음
인간은 자연을 지배하기도 하고 복종하기도 한다.,"지배하다'는 목적어 '자연을' 취하고, '복종하다'는 '자연에' 취합니다. 다른 조사를 요구하는 서술어를 병렬할 때는 조사를 반복해야 합니다.",인간은 자연을 지배하기도 하고 복종하기도 한다.,인간은 자연을 지배하기도 하고 자연에 복종하기도 한다.,원래순서,다름
나는 그 영화를 감명받았다.,'감명받다'는 자동사이므로 '을/를'이 아니라 '에/에게'를 써야 합니다.,나는 그 영화에 감명받았다.,나는 그 영화에 감명받았다.,원래순서,같음
정답을 맞추다.,"이 문장은 흔히 맞다고 생각하지만, 엄밀히 '정답'은 '맞히다'(적중시키다)가 올바릅니다. '맞추다'는 '서로 비교하다'(답을 맞추어 보다), '조립하다'(퍼즐을 맞추다), '조절하다'(초점을 맞추다)의 뜻입니다. 시험 문제의 답을 적중시키는 것은 '맞히다'입니다.",정답을 맞히다.,정답을 맞추다.,원래순서,다름
처음 초면에 그런 말을 하다니.,'초면(初面)'의 '초(初)'가 이미 '처음'이라는 뜻이므로 의미가 중복됩니다.,초면에 그런 말을 하다니.,처음 초면에 그런 말을 하다니.,원래순서,다름
그 사건은 파급효과를 미쳤다.,'파급효과를 미치다'는 잘못된 연어입니다. '영향을 미치다' 또는 '파급효과를 가져오다'가 올바른 조합입니다.,그 사건은 파급효과를 불러일으켰다.,그 사건은 파급효과를 미쳤다.,원래순서,다름
